Model,Accuracy,ROC-AUC
XGBoost,0.7695388488385398,0.7836870605419037
Gradient Boosting,0.7617576381737041,0.7691790386655306
Support Vector Machine (SVM),0.7590494717168249,0.7299891152437941
Random Forest,0.7523744135484609,0.7634384302599552
K-Nearest Neighbors (KNN),0.7385284357477973,0.7084097535980969
Decision Tree,0.7149559446160888,0.6343194806503426
Logistic Regression,0.6514475340427966,0.721678864773638
Naive Bayes,0.3539687988709616,0.6722069858282562
